vertebrate_sp_paper	vertebrate_sp_current	vertebrate_genus_current	vertebrate_family_current	body_size	diet	vertebrate
Pipile_cujubi	Pipile_cujubi	Pipile	Cracidae	21.70767344	Frugivore	Bird
Aburria_jacutinga	Pipile_jacutinga	Pipile	Cracidae	22.05981843	Frugivore	Bird
Pipile_jacutinga	Pipile_jacutinga	Pipile	Cracidae	22.05981843	Frugivore	Bird
Crotophaga_ani	Crotophaga_ani	Crotophaga	Cuculidae	7.704063154	Omnivore	Bird
Crotophaga_major	Crotophaga_major	Crotophaga	Cuculidae	8.767000258	Omnivore	Bird
Guira_guira	Guira_guira	Guira	Cuculidae	8.57815721	Insectivore	Bird
Piaya_cayana	Piaya_cayana	Piaya	Cuculidae	7.452242606	Insectivore	Bird
Danacobius_atricapillus	Donacobius_atricapilla	Donacobius	Donacobiidae	4.786731498	Insectivore	Bird
Estrilda_astrild	Estrilda_astrild	Estrilda	Estrildidae	2.505665909	Granivore	Bird
Caracara_plancus	Caracara_plancus	Caracara	Falconidae	20.75668719	Scavenger	Bird
Daptrius_ater	Daptrius_ater	Daptrius	Falconidae	12.75896429	Carnivora	Bird
Chlorophonia_cyanea	Chlorophonia_cyanea	Chlorophonia	Fringillidae	3.145988144	Frugivore	Bird
Euphonia	Euphonia	Euphonia	Fringillidae	NA	NA	Bird
Euphonia_sp	Euphonia	Euphonia	Fringillidae	NA	NA	Bird
Euphonia_chalybea	Euphonia_chalybea	Euphonia	Fringillidae	3.59215967	Frugivore	Bird
Euphonia_chlorotica	Euphonia_chlorotica	Euphonia	Fringillidae	2.833159967	Frugivore	Bird
Euphonia_clorothica	Euphonia_chlorotica	Euphonia	Fringillidae	2.833159967	Frugivore	Bird
Euphonia_cyanocephala	Euphonia_cyanocephala	Euphonia	Fringillidae	3.145988144	Frugivore	Bird
Euphonia_fulvicrissa	Euphonia_fulvicrissa	Euphonia	Fringillidae	2.833159967	Frugivore	Bird
Euphonia_jamaica	Euphonia_jamaica	Euphonia	Fringillidae	3.387553868	Frugivore	Bird
Euphonia_laniirostris	Euphonia_laniirostris	Euphonia	Fringillidae	3.241678525	Frugivore	Bird
Euphonia_pectoralis	Euphonia_pectoralis	Euphonia	Fringillidae	3.184714009	Frugivore	Bird
Euphonia_rufiventris	Euphonia_rufiventris	Euphonia	Fringillidae	3.145988144	Frugivore	Bird
Euphonia_violacea	Euphonia_violacea	Euphonia	Fringillidae	3.241678525	Frugivore	Bird
Euphonia_xanthogaster	Euphonia_xanthogaster	Euphonia	Fringillidae	3.046347561	Frugivore	Bird
Haemorhous_mexicanus	Haemorhous_mexicanus	Haemorhous	Fringillidae	NA	NA	Bird
Spinus_psaltria	Spinus_psaltria	Spinus	Fringillidae	NA	NA	Bird
Cranioleuca_pallida	Cranioleuca_pallida	Cranioleuca	Furnariidae	2.888385917	Insectivore	Bird
Gnorimopsar_chopi	Furnarius_rufus	Furnarius	Furnariidae	5.29469373	Insectivore	Bird
Lepidocolaptes_souleyetii	Lepidocolaptes_souleyetii	Lepidocolaptes	Furnariidae	4.095681488	Insectivore	Bird
Phacellodomus_ruber	Phacellodomus_ruber	Phacellodomus	Furnariidae	5.016757742	Insectivore	Bird
Philydor_atricapillus	Philydor_atricapillus	Philydor	Furnariidae	3.843383022	Insectivore	Bird
Synallaxis_albescens	Synallaxis_albescens	Synallaxis	Furnariidae	2.855417374	Insectivore	Bird
Synallaxis_ruficapilla	Synallaxis_ruficapilla	Synallaxis	Furnariidae	3.126390318	Insectivore	Bird
Pygochelidon_cyanoleuca	Pygochelidon_cyanoleuca	Pygochelidon	Hirundinidae	2.68256046	Insectivore	Bird
Cacicus_cela	Cacicus_cela	Cacicus	Icteridae	6.901315648	Omnivore	Bird
Cacicus_chrysopterus	Cacicus_chrysopterus	Cacicus	Icteridae	4.750398085	Omnivore	Bird
Cacicus_haemorrhous	Cacicus_haemorrhous	Cacicus	Icteridae	6.839928935	Insectivore	Bird
Cacicus_haemorrous	Cacicus_haemorrhous	Cacicus	Icteridae	6.839928935	Insectivore	Bird
Chrysomus_ruficapillus	Chrysomus_ruficapillus	Chrysomus	Icteridae	4.504829205	Granivore	Bird
Icterus_auricapillus	Icterus_auricapillus	Icterus	Icteridae	4.517035302	Insectivore	Bird
Icterus_cayanensis	Icterus_cayanensis	Icterus	Icteridae	4.70908543	Insectivore	Bird
Icterus_galbula	Icterus_galbula	Icterus	Icteridae	4.555206584	Insectivore	Bird
Icterus_gularis	Icterus_gularis	Icterus	Icteridae	5.706604898	Omnivore	Bird
Icterus_jamacaii	Icterus_jamacaii	Icterus	Icteridae	6.399276435	Insectivore	Bird
Icterus_leucopterix	Icterus_leucopteryx	Icterus	Icteridae	4.792376212	Insectivore	Bird
Icterus_nigrogularis	Icterus_nigrogularis	Icterus	Icteridae	4.974008494	Insectivore	Bird
Icterus_pustulatus	Icterus_pustulatus	Icterus	Icteridae	4.785601513	Insectivore	Bird
Icterus_pyrrhopterus	Icterus_pyrrhopterus	Icterus	Icteridae	NA	NA	Bird
Icterus_wagleri	Icterus_wagleri	Icterus	Icteridae	5.059037673	Insectivore	Bird
Molothrus_bonariensis	Molothrus_bonariensis	Molothrus	Icteridae	5.042708986	Insectivore	Bird
Psarocolius_decumanus	Psarocolius_decumanus	Psarocolius	Icteridae	10.11985391	Omnivore	Bird
Psarocolius_montezuma	Psarocolius_montezuma	Psarocolius	Icteridae	12.07551118	Insectivore	Bird
Psarocolius_viridis	Psarocolius_viridis	Psarocolius	Icteridae	11.67916201	Insectivore	Bird
Pseudoleistes_guirahuro	Pseudoleistes_guirahuro	Pseudoleistes	Icteridae	6.935230303	Omnivore	Bird
