vertebrate_sp_paper	vertebrate_sp_current	vertebrate_genus_current	vertebrate_family_current	body_size	diet	vertebrate
Pteroglossus_bitorquatus	Pteroglossus_bitorquatus	Pteroglossus	Ramphastidae	8.604526001	Frugivore	Bird
Pteroglossus_castanotis	Pteroglossus_castanotis	Pteroglossus	Ramphastidae	11.15369885	Frugivore	Bird
Pteroglossus_inscriptus	Pteroglossus_inscriptus	Pteroglossus	Ramphastidae	8.164126021	Frugivore	Bird
Pteroglossus_torquatus	Pteroglossus_torquatus	Pteroglossus	Ramphastidae	10.38728963	Frugivore	Bird
Ramphastos_ambiguus	Ramphastos_ambiguus	Ramphastos	Ramphastidae	16.67706451	Frugivore	Bird
Ramphastos_dicolorus	Ramphastos_ambiguus	Ramphastos	Ramphastidae	16.67706451	Frugivore	Bird
Ramphastos_dicolorus	Ramphastos_dicolorus	Ramphastos	Ramphastidae	12.42645905	Frugivore	Bird
Ramphastos_sulphuratus	Ramphastos_sulfuratus	Ramphastos	Ramphastidae	13.6324825	Frugivore	Bird
Ramphastos_toco	Ramphastos_toco	Ramphastos	Ramphastidae	16.29700662	Frugivore	Bird
Ramphastos_tucanus	Ramphastos_tucanus	Ramphastos	Ramphastidae	16.76456576	Frugivore	Bird
Rhamphastos_tucanus	Ramphastos_tucanus	Ramphastos	Ramphastidae	16.76456576	Frugivore	Bird
Ramphastos_vitellinus	Ramphastos_vitellinus	Ramphastos	Ramphastidae	12.89367109	Frugivore	Bird
Selenidera_gouldii	Selenidera_gouldii	Selenidera	Ramphastidae	9.558574136	Frugivore	Bird
Selenidera_maculirostris	Selenidera_maculirostris	Selenidera	Ramphastidae	9.159978651	Frugivore	Bird
Selenidera_piperivora	Selenidera_piperivora	Selenidera	Ramphastidae	8.734819986	Frugivore	Bird
Rhea_americana	Rhea_americana	Rhea	Rheidae	78.3924668	Omnivore	Bird
Semnornis_frantzii	Semnornis_frantzii	Semnornis	Semnornithidae	5.801721141	Frugivore	Bird
Spindalis_zena	Spindalis_zena	Spindalis	Spindalidae	4.072060957	Frugivore	Bird
Steatornis_carpipensis	Steatornis_caripensis	Steatornis	Steatornithidae	13.60803141	Frugivore	Bird
Asio_flameus	Asio_flammeus	Asio	Strigidae	12.28867154	Carnivora	Bird
Drymophila_ferruginea	Drymophila_ferruginea	Drymophila	Thamnophilidae	2.787948066	Insectivore	Bird
Formicivora_rufa	Formicivora_rufa	Formicivora	Thamnophilidae	2.810672434	Insectivore	Bird
Taraba_major	Taraba_major	Taraba	Thamnophilidae	5.884499598	Insectivore	Bird
Tamnophilus_caerulescens	Thamnophilus_caerulescens	Thamnophilus	Thamnophilidae	3.759486786	Insectivore	Bird
Thamnophilus_caerulescens	Thamnophilus_caerulescens	Thamnophilus	Thamnophilidae	3.759486786	Insectivore	Bird
Tamnophilus_doliatus	Thamnophilus_doliatus	Thamnophilus	Thamnophilidae	4.186420388	Insectivore	Bird
Thamnophilus_doliatus	Thamnophilus_doliatus	Thamnophilus	Thamnophilidae	4.186420388	Insectivore	Bird
Tamnophilus_punctatus	Thamnophilus_punctatus	Thamnophilus	Thamnophilidae	3.624809481	Insectivore	Bird
Poospiza_thoracica	Castanozoster_thoracicus	Castanozoster	Thraupidae	NA	NA	Bird
Cissopis_leveriana	Cissopis_leverianus	Cissopis	Thraupidae	6.558838911	Omnivore	Bird
Cissopis_leverianus	Cissopis_leverianus	Cissopis	Thraupidae	6.558838911	Omnivore	Bird
