Plant_sp_paper	Plant_name_accepted	Plant_sp_current	Plant_genus_current	Plant_family_current	life_form	fruit_type	husk	color	color_code	fruit_le_cm	fruit_wd_cm	seed_le_cm	seed_wd_cm	seed_diam_cm	n_seeds
Astronium_nelson-rosae	Astronium_nelson-rosae	Astronium_nelson-rosae	Astronium	Anacardiaceae	NA	NA	NA	brown	F	1.2	NA	NA	NA	NA	NA
Cyrtocarpa_edulis	Cyrtocarpa_edulis	Cyrtocarpa_edulis	Cyrtocarpa	Anacardiaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lithraea_brasiliensis	Lithraea_brasiliensis	Lithraea_brasiliensis	Lithraea	Anacardiaceae	NA	drupe	A	green	F	0.7	0.6	0.3	0.2	0.2	1
Lithraea_molleoides	Lithraea_molleoides	Lithraea_molleoides	Lithraea	Anacardiaceae	NA	drupe	NA	NA	NA	0.6	0.5	0.41	0.3	0.3	1
Lithrea_brasiliensis	Lithraea_brasiliensis	Lithraea_brasiliensis	Lithraea	Anacardiaceae	NA	drupe	A	green	F	0.7	0.6	0.3	0.2	0.2	1
Lithrea_molleoides	Lithraea_molleoides	Lithraea_molleoides	Lithraea	Anacardiaceae	NA	drupe	NA	NA	NA	0.6	0.5	0.41	0.3	0.3	1
Mangifera_indica	Mangifera_indica	Mangifera_indica	Mangifera	Anacardiaceae	tree	drupe	A	yellow	F	1.27	7.86	8	5	5	1
Mangifera_sp	Mangifera	sp	Mangifera	Anacardiaceae	NA	drupe	NA	NA	NA	NA	NA	NA	NA	NA	NA
Manguifera_indica	Mangifera_indica	Mangifera_indica	Mangifera	Anacardiaceae	tree	drupe	A	yellow	F	1.27	7.86	8	5	5	1
Marupa_peruviana	Mauria_peruviana	Mauria_peruviana	Mauria	Anacardiaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Metopium_brownei	Metopium_brownei	Metopium_brownei	Metopium	Anacardiaceae	NA	NA	NA	NA	NA	1.05	0.53	NA	NA	NA	NA
Schinus_terebinthifolia	Schinus_terebinthifolia	Schinus_terebinthifolia	Schinus	Anacardiaceae	NA	NA	NA	NA	NA	0.52	0.51	0.3	0.3	0.3	1
Spondias_cytherea	Spondias_dulcis	Spondias_dulcis	Spondias	Anacardiaceae	NA	drupe	NA	NA	NA	8.4	5.9	7.5	5	5	NA
Spondias_cytherea	Spondias_mombin	Spondias_mombin	Spondias	Anacardiaceae	tree	drupe	A	yellow	F	3.37	2.43	2.47	1.77	1.77	1
Spondias_dulcis	Spondias_dulcis	Spondias_dulcis	Spondias	Anacardiaceae	NA	drupe	NA	NA	NA	8.4	5.9	7.5	5	5	NA
Spondias_macrocarpa	Spondias_macrocarpa	Spondias_macrocarpa	Spondias	Anacardiaceae	NA	drupe	NA	NA	NA	3.1	3.5	NA	NA	NA	NA
Spondias_mombin	Spondias_mombin	Spondias_mombin	Spondias	Anacardiaceae	tree	drupe	A	yellow	F	3.37	2.43	2.47	1.77	1.77	1
Spondias_purpurea	Spondias_purpurea	Spondias_purpurea	Spondias	Anacardiaceae	NA	drupe	A	orange	F	3.58	1.91	2.67	1.58	1.58	1
Spondias_radlikoferi	Spondias_radlkoferi	Spondias_radlkoferi	Spondias	Anacardiaceae	tree	drupe	A	green	F	3.25	2	NA	2.5	2.5	1
Spondias_radlkoferi	Spondias_radlkoferi	Spondias_radlkoferi	Spondias	Anacardiaceae	tree	drupe	A	green	F	3.25	2	NA	2.5	2.5	1
Spondias_sp	Spondias	sp	Spondias	Anacardiaceae	NA	drupe	NA	NA	NA	NA	NA	NA	NA	NA	NA
Spondias_tuberosa	Spondias_tuberosa	Spondias_tuberosa	Spondias	Anacardiaceae	NA	drupe	NA	NA	NA	4.5	3.8	2.8	2	2	1
Spondias_tuberose	Spondias_tuberosa	Spondias_tuberosa	Spondias	Anacardiaceae	NA	drupe	NA	NA	NA	NA	NA	NA	NA	NA	NA
Spondias_venulosa	Spondias_venulosa	Spondias_venulosa	Spondias	Anacardiaceae	tree	drupe	A	yellow	F	3	2.5	NA	2.25	2.25	1
Tapirira_guianensis	Tapirira_guianensis	Tapirira_guianensis	Tapirira	Anacardiaceae	tree	drupe	A	black	F	1.23	0.89	1.04	0.72	0.72	1
Tapirira_mexicana	Tapirira_mexicana	Tapirira_mexicana	Tapirira	Anacardiaceae	NA	drupe	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tapirira_obtusa	Tapirira_obtusa	Tapirira_obtusa	Tapirira	Anacardiaceae	tree	drupe	A	black	F	1.2	0.91	0.83	0.53	0.53	1
Tapirira_peckoltiana	Tapirira_obtusa	Tapirira_obtusa	Tapirira	Anacardiaceae	tree	drupe	A	black	F	1.2	0.91	0.83	0.53	0.53	1
Tapirira_retusa	Tapirira_retusa	Tapirira_retusa	Tapirira	Anacardiaceae	tree	drupe	A	black	F	1.1	0.9	0.9	0.68	0.68	1
Tapirira_sp	Tapirira	sp	Tapirira	Anacardiaceae	NA	drupe	NA	NA	NA	NA	NA	NA	NA	NA	NA
Thyrsodium_puberulum	Thyrsodium_puberulum	Thyrsodium_puberulum	Thyrsodium	Anacardiaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Thyrsodium_schomburgkianum	Thyrsodium_spruceanum	Thyrsodium_spruceanum	Thyrsodium	Anacardiaceae	NA	NA	NA	NA	NA	NA	1.5	1.25	1.2	1.2	1
Annanas_sp	Annona	sp	Annona	Annonaceae	NA	berry	NA	NA	NA	NA	NA	NA	NA	NA	NA
Annona_acuminata	Annona_acuminata	Annona_acuminata	Annona	Annonaceae	tree	berry	P	green	F	NA	NA	NA	0.9	0.9	30
Annona_ambotay	Annona_ambotay	Annona_ambotay	Annona	Annonaceae	NA	berry	P	NA	NA	NA	NA	NA	NA	NA	NA
Annona_bahiensis	Annona_bahiensis	Annona_bahiensis	Annona	Annonaceae	tree	berry	P	green	F	13	11	NA	NA	NA	30
Annona_cacans	Annona_cacans	Annona_cacans	Annona	Annonaceae	tree	berry	P	green	F	8.62	10.6	1.16	0.75	0.75	30
Annona_coriacea	Annona_coriacea	Annona_coriacea	Annona	Annonaceae	NA	berry	P	NA	NA	16	10	NA	NA	NA	45
Annona_cornifolia	Annona_cornifolia	Annona_cornifolia	Annona	Annonaceae	NA	berry	P	NA	NA	4.06	3.76	1.1	0.47	0.47	78
Annona_crassiflora	Annona_crassiflora	Annona_crassiflora	Annona	Annonaceae	NA	berry	P	NA	NA	13.7	12.9	1.89	0.75	0.75	73
Annona_dioica	Annona_dioica	Annona_dioica	Annona	Annonaceae	NA	berry	P	NA	NA	9.3	7.5	NA	0.8	0.8	149
Annona_dolabripetala	Annona_dolabripetala	Annona_dolabripetala	Annona	Annonaceae	tree	berry	P	green	F	3.8	5.5	NA	1.2	1.2	15
Annona_duckei	Annona_duckei	Annona_duckei	Annona	Annonaceae	tree	berry	P	green	F	NA	NA	NA	1.5	1.5	30
Annona_edulis	Annona_edulis	Annona_edulis	Annona	Annonaceae	tree	berry	P	green	F	5	4.8	NA	1.65	1.65	30
Annona_glabra	Annona_glabra	Annona_glabra	Annona	Annonaceae	NA	berry	P	NA	NA	9.3	8	1.57	0.91	0.91	32
Annona_haematantha	Annona_haematantha	Annona_haematantha	Annona	Annonaceae	liana	berry	P	green	F	2.3	2	NA	0.6	0.6	30
Annona_helosioides	Annona_helosioides	Annona_helosioides	Annona	Annonaceae	tree	berry	P	green	F	NA	NA	NA	0.8	0.8	30
Annona_herzogii	Annona_herzogii	Annona_herzogii	Annona	Annonaceae	tree	berry	P	green	F	NA	NA	NA	1	1	30
Annona_hypoglauca	Annona_hypoglauca	Annona_hypoglauca	Annona	Annonaceae	NA	berry	P	green	F	6.5	4	1	0.8	0.8	NA
Annona_jahnii	Annona_jahnii	Annona_jahnii	Annona	Annonaceae	NA	berry	P	NA	NA	NA	NA	NA	NA	NA	NA
Annona_longifolia	Fusaea_longifolia	Fusaea_longifolia	Fusaea	Annonaceae	NA	NA	NA	NA	NA	9.14	8.86	1.07	0.71	0.71	30
Annona_longifolia	Fusaea_longifolia	Fusaea_longifolia	Fusaea	Annonaceae	NA	NA	NA	NA	NA	9.14	8.86	1.07	0.71	0.71	NA
Annona_maritima	Annona_maritima	Annona_maritima	Annona	Annonaceae	tree	berry	P	yellow	F	5.5	5	NA	1.5	1.5	30
Annona_montana	Annona_montana	Annona_montana	Annona	Annonaceae	NA	berry	P	green	F	9.2	7.5	1.3	1	1	50
Annona_mucosa	Annona_mucosa	Annona_mucosa	Annona	Annonaceae	NA	berry	P	yellow	NA	6.3	8.78	1.6	1.3	1.3	50
Annona_muricata	Annona_muricata	Annona_muricata	Annona	Annonaceae	NA	berry	P	NA	NA	NA	12	1.75	NA	NA	10
Annona_neosericea	Annona_neosericea	Annona_neosericea	Annona	Annonaceae	tree	berry	P	yellow	F	3.4	3.3	0.8	0.5	0.5	50
Annona_papilionela	Annona_papilionella	Annona_papilionella	Annona	Annonaceae	tree	berry	P	green	F	9.5	6	NA	0.9	0.9	30
Annona_pupurea	Annona_purpurea	Annona_purpurea	Annona	Annonaceae	NA	berry	P	NA	NA	NA	NA	NA	NA	NA	NA
Annona_purpurea	Annona_purpurea	Annona_purpurea	Annona	Annonaceae	NA	berry	P	NA	NA	NA	NA	NA	NA	NA	NA
Annona_reticulata	Annona_reticulata	Annona_reticulata	Annona	Annonaceae	tree	berry	P	red	F	12	10	NA	1.5	1.5	30
Annona_salzmannii	Annona_salzmannii	Annona_salzmannii	Annona	Annonaceae	tree	berry	P	yellow	F	8.86	8.7	2	1	1	75
Annona_sp	Annona	sp	Annona	Annonaceae	NA	berry	NA	NA	NA	NA	NA	NA	NA	NA	NA
Annona_squamosa	Annona_squamosa	Annona_squamosa	Annona	Annonaceae	NA	berry	P	yellow	NA	6.3	8.78	1.6	1.3	1.3	50
Annona_sylvatica	Annona_sylvatica	Annona_sylvatica	Annona	Annonaceae	tree	berry	P	yellow	F	3.72	3.45	1.41	0.74	0.74	40
Annona_tomentosa	Annona_tomentosa	Annona_tomentosa	Annona	Annonaceae	NA	berry	P	NA	NA	4.5	3.5	0.6	0.3	0.3	24
Cymbopetalum_baillonii	Cymbopetalum_baillonii	Cymbopetalum_baillonii	Cymbopetalum	Annonaceae	NA	berry	P	purple	F	NA	NA	1.5	NA	NA	NA
Cymbopetalum_pendiflorum	Cymbopetalum_penduliflorum	Cymbopetalum_penduliflorum	Cymbopetalum	Annonaceae	tree	berry	P	purple	F	NA	NA	NA	NA	NA	6
Desmoncus_schippi	Desmopsis_schippii	Desmopsis_schippii	Desmopsis	Annonaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Desmopsis_panamensis	Desmopsis_panamensis	Desmopsis_panamensis	Desmopsis	Annonaceae	tree	capsule	A	purple	F	2.3	2	NA	NA	NA	1
Dugueltia_sp	Duguetia	sp	Duguetia	Annonaceae	NA	infructescence	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dugueltia_surinamensis	Duguetia_surinamensis	Duguetia_surinamensis	Duguetia	Annonaceae	NA	infructescence	NA	NA	NA	NA	NA	NA	NA	NA	NA
Duguelttia_sp	Duguetia	sp	Duguetia	Annonaceae	NA	infructescence	NA	NA	NA	NA	NA	NA	NA	NA	NA
Duguetia_furfuracea	Duguetia_furfuracea	Duguetia_furfuracea	Duguetia	Annonaceae	NA	infructescence	NA	NA	NA	5	3.5	1.3	0.9	0.9	NA
Duguetia_lanceolata	Duguetia_lanceolata	Duguetia_lanceolata	Duguetia	Annonaceae	tree	infructescence	P	red	I	8	8	1.97	0.84	0.84	1
Duguetia_lucida	Duguetia_lucida	Duguetia_lucida	Duguetia	Annonaceae	tree	infructescence	P	brown	I	6	5.5	NA	1	1	1
Duguetia_ribeirensis	Duguetia_riberensis	Duguetia_riberensis	Duguetia	Annonaceae	NA	infructescence	NA	NA	NA	NA	NA	NA	NA	NA	NA
Duguetia_riparis	Duguetia_riparia	Duguetia_riparia	Duguetia	Annonaceae	NA	infructescence	NA	NA	NA	1.82	0.89	NA	NA	NA	NA
Duguetia_sp	Duguetia	sp	Duguetia	Annonaceae	NA	infructescence	NA	NA	NA	NA	NA	NA	NA	NA	NA
Duguetia_spixiana	Duguetia_spixiana	Duguetia_spixiana	Duguetia	Annonaceae	tree	infructescence	P	red	I	7	6.8	NA	1	1	1
Duguetia_surinamensis	Duguetia_surinamensis	Duguetia_surinamensis	Duguetia	Annonaceae	NA	infructescence	NA	NA	NA	NA	NA	NA	NA	NA	NA
Duguetia_uniflora	Duguetia_uniflora	Duguetia_uniflora	Duguetia	Annonaceae	tree	infructescence	P	brown	I	5	5	NA	0.9	0.9	1
Ephedranthus_colombianus	Ephedranthus_columbianus	Ephedranthus_columbianus	Ephedranthus	Annonaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Froesiodendron_amazonicum	Froesiodendron_amazonicum	Froesiodendron_amazonicum	Froesiodendron	Annonaceae	tree	berry	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fusaea_longifolia	Fusaea_longifolia	Fusaea_longifolia	Fusaea	Annonaceae	tree	berry	P	green	F	2.8	3.5	1	0.4	0.4	12
Fusaea_sp	Fusaea	sp	Fusaea	Annonaceae	NA	berry	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fussaea_longifolia	Fusaea_longifolia	Fusaea_longifolia	Fusaea	Annonaceae	NA	berry	P	green	F	2.8	3.5	1	0.4	0.4	12
Guatteria_acutissima	Guatteria_punctata	Guatteria_punctata	Guatteria	Annonaceae	tree	drupe	A	purple	F	2.5	1	NA	0.75	0.75	1
Guatteria_australis	Guatteria_australis	Guatteria_australis	Guatteria	Annonaceae	tree	drupe	A	black_red	F_P	1.12	0.76	0.93	0.61	0.61	1
Guatteria_blepharophylla	Guatteria_blepharophylla	Guatteria_blepharophylla	Guatteria	Annonaceae	tree	drupe	A	black	F	1.2	0.7	1	NA	NA	1
Guatteria_chrysopetala	Guatteria_punctata	Guatteria_punctata	Guatteria	Annonaceae	tree	drupe	A	purple	F	2.5	1	NA	0.75	0.75	1
Guatteria_decurrens	Guatteria_decurrens	Guatteria_decurrens	Guatteria	Annonaceae	tree	drupe	A	black	F	1	0.7	NA	NA	NA	1
Guatteria_megalophylla	Guatteria_megalophylla	Guatteria_megalophylla	Guatteria	Annonaceae	tree	drupe	A	purple	F	1.2	0.75	NA	NA	NA	1
Guatteria_multinervia	Polyalthia_motleyana	Polyalthia_motleyana	Polyalthia	Annonaceae	tree	drupe	A	red	F	1.7	1.5	NA	1	1	1
Guatteria_multinervia	Polyalthia_motleyana_var._motleyana	Polyalthia_motleyana	Polyalthia	Annonaceae	tree	drupe	A	red	F	1.7	1.5	NA	1	1	1
Guatteria_multivenia	Guatteria_guianensis	Polyalthia_motleyana	Polyalthia	Annonaceae	tree	drupe	A	red	F	1.7	1.5	NA	1	1	1
Guatteria_olivacea	Guatteria_punctata	Guatteria_punctata	Guatteria	Annonaceae	tree	drupe	A	purple	F	2.5	1	NA	0.75	0.75	1
Guatteria_punctata	Guatteria_punctata	Guatteria_punctata	Guatteria	Annonaceae	tree	drupe	A	purple	F	2.5	1	NA	0.75	0.75	1
Guatteria_schomburgkiana	Guatteria_schomburgkiana	Guatteria_schomburgkiana	Guatteria	Annonaceae	NA	drupe	NA	NA	NA	1.03	0.91	NA	NA	NA	1
Guatteria_scytophylla	Guatteria_scytophylla	Guatteria_scytophylla	Guatteria	Annonaceae	NA	drupe	NA	NA	NA	NA	NA	NA	NA	NA	NA
